,artist,text
32558,Drake, AM in Germany cant believe that they heard of me
32559,Drake,Last verse that I gotta do is always like surgery
32560,Drake,Always tryin to let go of anything thatll burden me
32561,Drake,Thats the reason you can feel the tension and the urgency
32562,Drake,Last chance I get to make sure that you take it personally
32563,Drake,Take this shit to heart its always executed perfectly
32564,Drake,If we do a song its like takin my kids to work with me
32565,Drake,You overnight celebrity you one day star
32566,Drake,Swear I Told You that Im in this bitch for eternity
32567,Drake,I am a reflection of all of your insecurities
32568,Drake,Behind closed doors a lot of  God worshipping
32569,Drake,Done talk now cause theres other shit thats concernin me
32570,Drake,Theres real ones around me
32571,Drake,I want to make sure they learn from me
32572,Drake,I want to see my dog but his grandmothers his surety
32573,Drake,He cant even dip out to see me in an emergency
32574,Drake,My life is centered round competition and currency
32575,Drake,Takin summer off cause they tell me I need recovery
32576,Drake,Maybe gettin back to my regular life will humble me
32577,Drake,Ill be back in     to give you the summary
32578,Drake,Had hit records on my demo
32579,Drake,Did yall boys not get the memo 
32580,Drake,I do not stay at the Intercontinental
32581,Drake,And anything I got is not a rental
32582,Drake,Figured out this shit is simple
32583,Drake,My stock been going up like a crescendo
32584,Drake,A bunch of handshakes from the fakes
32585,Drake,But nigga I do not wanna be friends though
32586,Drake,Man this shit is not a love song
32587,Drake,This a  fuck a stripper on the mink rug song
32588,Drake,This a  fuck them boys forever hold a grudge song
32589,Drake, Pop some fucking champagne in the tub song
32590,Drake,Whats the move Can I tell the truth 
32591,Drake,If I was doing this for you then Id have nothing left to prove
32592,Drake,Im just tryna stay alive and take care of my people
32593,Drake,And they dont have no award for that
32594,Drake,And they dont have no award for that
32595,Drake,Shit dont come with trophies aint no envelopes to open
32596,Drake,I just do it cause Im sposed to nigga
32597,Drake,Bitch I go to Dreams with a suitcase
32598,Drake,I got my whole country on a new wave
32599,Drake,She like  I heard all your niggas stay where you stay 
32600,Drake,House so big I havent seen them boys in two days
32601,Drake,Bitch I use a Walkie Talkie just to get a beverage
32602,Drake,I saw my parents split up right after the wedding
32603,Drake,That taught my ass to stay committed fuck the credit
32604,Drake,Bitch check the numbers Im the one who really get it
32605,Drake,Man this shit is not a love song
32606,Drake,This a  doing me and only God can judge song
32607,Drake, I do not know what the fuck you thought it was song
32608,Drake, Pop some fucking champagne in the tub song
32609,Drake,Whats the move Can I tell the truth 
32610,Drake,If I was doing this for you then Id have nothing left to prove
32611,Drake,Im just tryna stay alive and take care of my people
32612,Drake,And they dont have no award for that
32613,Drake,And they dont have no award for that
32614,Drake,Shit dont come with trophies aint no envelopes to open
32615,Drake,I just do it cause Im sposed to nigga
32616,Drake,  Bands   bands    bands fuck it man
32617,Drake,Lets just not even discuss it man
32618,Drake,OMG niggas sleep I aint trippin Ima let em sleep
32619,Drake,I aint trippin let em rest in peace
32620,Drake,I can tell ya how it happened
32621,Drake,I can tell ya bout them safe house nights out in Calabasas
32622,Drake,I can tell you not a rapper
32623,Drake,Tryna sell this story I dont even open up the package
32624,Drake,Who you with What you claim 
32625,Drake,I was payin mamas rent when was I turning   
32626,Drake,Soda dirty like Diana never clean
32627,Drake,My ex asked me  Where you movin  I said  On to better things 
32628,Drake,  Bands   bands    bands fuck it man
32629,Drake,Lets just not even discuss it man
32630,Drake,OMG niggas sleep I aint trippin Ima let em sleep
32631,Drake,I aint trippin let em rest in peace
32632,Drake,I been in the crib with the phones off
32633,Drake,I been at the house taking no calls
32634,Drake,I done hit the stride got my shit goin
32635,Drake,In the six cooking with the wrist motion
32636,Drake,Drapes closed I dont know what time it is
32637,Drake,Im still awake I gotta shine this year
32638,Drake,I could never ever let the streets down
32639,Drake,Havent left the condo for a week now
32640,Drake,  Bands   bands    bands fuck it man
32641,Drake,Lets just not even discuss it man
32642,Drake,OMG niggas sleep I aint trippin Ima let em sleep
32643,Drake,I aint trippin let em rest in peace
32644,Drake,Ive been on a mission havent left the condo
32645,Drake,This that OVO that SZN this that new Toronto
32646,Drake,I get boxes of free Jordan like I play for North Carolina
32647,Drake,How much I make off the deal how the fuck should I know 
32648,Drake,All my watches always timeless you can keep the diamonds
32649,Drake,Treatin Diamonds of Atlanta like its King of Diamonds
32650,Drake,Take a flick I look like Meechy look like Bleu DaVinci
32651,Drake,I treat V Live like its   in Magic City
32652,Drake,Man I told my city Id be gone til November then November came
32653,Drake,Then I came right back on my worst behav
32654,Drake, God put both hands together thats amazin grace
32655,Drake, God selfish with the love I need all the praise  woo 
32656,Drake,They got me feelin like the one again  woo 
32657,Drake,They got me feelin like the one again
32658,Drake,Yeah shout goes out to Nike checks all over me
32659,Drake,I need a FuelBand just to see how long the run has been
32660,Drake,  Bands   bands    bands fuck it man
32661,Drake,Lets just not even discuss it man
32662,Drake,OMG niggas sleep I aint trippin Ima let em sleep
32663,Drake,I aint trippin let em rest in peace
32664,Drake,I been in the crib with the phones off
32665,Drake,I been at the house takin no calls
32666,Drake,I done hit the stride got my shit going
32667,Drake,In the  cookin with the wri wri wri wri
32668,Drake,So if you rebuke me for workin with someone else on a couple of Vs
32669,Drake,What do you really think of the nigga thats makin your beats 
32670,Drake,Ive done things for him I thought that he never would need
32671,Drake,Father had to stretch his hands out and get it from me
32672,Drake,I pop style for   hours then let him repeat
32673,Drake,Now you poppin up with the jokes Im dead Im asleep
32674,Drake,I just left from over by yall puttin pen to the sheets
32675,Drake,Tired of sittin quiet and helpin my enemies eat
32676,Drake,Keep gettin temperature checks
32677,Drake,They know that my head overheats
32678,Drake,Dont know why the fuck you niggas listen to Denim or Steve
32679,Drake,Mustve had your Infrared wrong now your head in the beam
32680,Drake,Yall are the spittin image of whatever jealousy breeds
32681,Drake,Don t push me when Im in album mode
32682,Drake,Youre not even top  as far as your label talent goes
32683,Drake,You send shots well I got to challenge those
32684,Drake,But I bring Calicos to the Alamo
32685,Drake,I could never have a Virgil in my circle
32686,Drake,And hold him back cause he makes me nervous
32687,Drake,I wanna see my brothers flourish to they higher purpose
32688,Drake,You niggas leeches and serpents
32689,Drake,I think its good that now the teachers are learnin yeah
32690,Drake,Your brother said it was your cousin then him then you
32691,Drake,So you dont rap what you did you just rap what you knew
32692,Drake,Dont be ashamed its plenty niggas that do what you do
32693,Drake,Theres no malice in your heart youre an approachable dude
32694,Drake,Man you mightve sold to college kids for Nike and Mercedes
32695,Drake,But you act like you sold drugs for Escobar in the   s
32696,Drake,I had a microphone of yours but then the signature faded
32697,Drake,I think that pretty much resembles whats been happenin lately
32698,Drake,Please believe your demise will be televised yeah
32699,Drake,And as for Q man I changed his life a couple times
32700,Drake,Nigga was at Kroger workin double time
32701,Drake,Yall actin like he made the boy when I was tryna help the guy
32702,Drake,Yeah who gassed you to play with me 
32703,Drake,Man you made this shit as easy as ABCs
32704,Drake,Whoever supposedly makin me hits
32705,Drake,But then got no hits sound like they need me
32706,Drake,My hooks did it my lyrics did it
32707,Drake,My spirit did it Im fearless with it yeah
32708,Drake,I really shouldnt have given you none of my time
32709,Drake,Cause you older than the nigga you runnin behind
32710,Drake,Look holla at me when you multi million
32711,Drake,I told you keep playin with my name
32712,Drake,And Ima let it ring on you like Virginia Williams
32713,Drake,Im too resilient get out your feelings
32714,Drake,Its gonna be a cruel summer for you
32715,Drake,I told Weezy and Baby  Ima done him for you  
32716,Drake,Tell Ye we got a invoice comin to you
32717,Drake,Considerin that we just sold another   for you
32718,Drake,This on some  old Tommy Campos Dice Raw shit you know 
32719,Drake,You underestimated greatly
32720,Drake,Most number ones ever how long did it really take me 
32721,Drake,The part I love most is they need me more than they hate me
32722,Drake,So they never take shots I got everybody on safety
32723,Drake,I could load every gun with bullets that fire backwards
32724,Drake,You probably wouldnt lose a single rapper
32725,Drake,Niggas make threats cant hear em over the laughter
32726,Drake,Yeah thats cause Im headed to the bank nigga
32727,Drake,Sinatra lifestyle Im just bein frank with ya
32728,Drake,I mean where you think she at when she aint with ya 
32729,Drake,Wildin doin shit thats way out of your budget
32730,Drake,Owl sweaters inside her luggage you gotta love it
32731,Drake,Damn this shit could go on a tape
32732,Drake,Bitches lovin my drive I never give it a break
32733,Drake,Give these niggas the look the verse and even the hook
32734,Drake,Thats why every song sound like Drake featurin Drake
32735,Drake,Str  Y pree Why is it always me 
32736,Drake,Got us watchin our words like theres wire taps on the team
32737,Drake,Cause I show love never get the same outta niggas
32738,Drake,Guess its funny how money can make change outta niggas
32739,Drake,For real some nobody started feelin himself
32740,Drake,A couple somebodies started killin themself
32741,Drake,A couple albums dropped those are still on the shelf
32742,Drake,I bet them shits would have popped if I was willin to help
32743,Drake,I got a gold trophy from the committee for validation
32744,Drake,Bad press during the summer over allegations
32745,Drake,I aint lyin my nigga my time is money
32746,Drake,Thats why I aint got time for a nigga whose time is coming
32747,Drake,A lot of niggas PR stuntin like thats the movement
32748,Drake,And Im the only nigga still known for the music
32749,Drake,I swear fuck them niggas this year I made Forbes list
32750,Drake,Nigga fuck your list everythings lookin gorgeous
32751,Drake,Without me rap is just a bunch of orphans
32752,Drake,But if I stay then this shit is a bunch of corpses
32753,Drake,And me and my dread nigga from New Orleans
32754,Drake,Stashin money like hoarders off multi platinum recordings
32755,Drake,Eatin like I m seated at Swish Sotto and Josos
32756,Drake,Nothing Was The Same this shit for Ezee and Coco
32757,Drake,This shit for Karim this shit for Jaevon this shit for Julius Milly Mill
32758,Drake,Boy we do this shit for real
32759,Drake,All them boys in my will all them boys is my Wills
32760,Drake,Anything happen to pop then I got you like Uncle Phil
32761,Drake,Weezy been on that edge you niggas just need to chill
32762,Drake,If anything happen to Papi might pop a nigga for real
32763,Drake,Comin live from the screwface livin out a suitcase
32764,Drake,But Im feelin good Johnny got me pushin two plates
32765,Drake,My weight up I refused to wait up I started a new race
32766,Drake,Its funny when you think a nigga blew up after Lupe
32767,Drake,Niggas treat me like Ive been here for   
32768,Drake,Some niggas been here for a couple never been here again
32769,Drake,Im on my King James shit Im tryin to win here again
32770,Drake,A young nigga tryin to win here again  man whats up 
32771,Drake,Yeah a young nigga tryin to win here again
32772,Drake,If I like her I just fly her to the city Im in
32773,Drake,I got her drinkin with your boy
32774,Drake,I got her fucked up shorty aww yeah
77790,Logic,I feel like Im out of my mind
77791,Logic,It feel like my life aint mine
77792,Logic,I feel like Im out of my mind
77793,Logic,It feel like my life aint mine
77794,Logic,All this other shit Im talkin bout they think they know it
77795,Logic,Ive been praying for somebody to save me no ones heroic
77796,Logic,And my life dont even matter I know it I know it
77797,Logic,I know Im hurting deep down but cant show it
77798,Logic,I never had a place to call my own
77799,Logic,I never had a home aint nobody callin my phone
77800,Logic,Where you been Where you at Whats on your mind 
77801,Logic,They say every life precious but nobody care about mine
77802,Logic,I feel like Im out of my mind
77803,Logic,It feel like my life aint mine
77804,Logic,I feel like Im out of my mind
77805,Logic,It feel like my life aint mine
77806,Logic,When your heads been drowning underwater
77807,Logic,And its the lightness in the air
77808,Logic,Chest to chest with a lover
77809,Logic,Its holding on though the roads long
77810,Logic,And seeing light in the darkest things
77811,Logic,And when you stare at your reflection
77812,Logic,I know that youll thank God you did
77813,Logic,I know where you been where you are where you goin
77814,Logic,I know youre the reason I believe in life
77815,Logic,Whats the day without a little night 
77816,Logic,Im just tryna shed a little light
77817,Logic,But you gotta live right now
77818,Logic,You got everything to give right now
77819,Logic,I feel like Im out of my mind
77820,Logic,It feel like my life aint mine
77821,Logic,I feel like Im out of my mind
77822,Logic,It feel like my life aint mine
77823,Logic,Pain dont hurt the same I know
77824,Logic,The lane I travel feels alone
77825,Logic,But Im moving til my legs give out
77826,Logic,And I see my tears melt in the snow
77827,Logic,I dont even wanna die anymore
77828,Logic,I dont even wanna die anymore
77829,Logic,Gotta paint a picture when I write like this
77830,Logic,Tales from my hood not a sight like this
77831,Logic,Where they up to no good on a night like this
77832,Logic,And they murder motherfuckers just cause
77833,Logic,Type of shit I see you probably wonder where I was
77834,Logic,I was in the crib just sittin on the rug
77835,Logic,Basedheads comin through lookin for the plug
77836,Logic,Now born and raised in my area
77837,Logic,Beautiful by day by night its hysteria
77838,Logic,Fuck around and bury ya tonight
77839,Logic,Ridin with my homies on sight
77840,Logic,Momma tell me to come in at night
77841,Logic,Now I really gotta go but they never know
77842,Logic,Livin life to the fullest I gotta blow
77843,Logic,Po po finna bust in the door we got blow in the crib
77844,Logic,In the kitchen over there next to the baby with the bib
77845,Logic,Goddamn what it feel like middle of the night
77846,Logic,Wakin up scared for my life
77847,Logic,Never had the heat just a knife
77848,Logic,When the gat go blat like that
77849,Logic,Finna put you on your back like that
77850,Logic,Just breathe while their mama grieve
77851,Logic,Bullet to the dome like an Aleve
77852,Logic,Gotta leave for the premises to murder my nemesis
77853,Logic,No no uh uh just stop stop stop
77854,Logic, Fore they even call the cops
77855,Logic,Do it for the money and the bitches
77856,Logic,And the drugs and the props
77857,Logic,Tell me why another body even gotta drop
77858,Logic,Get shot off top for some shit that was gang related
77859,Logic,Up first at five tonight breaking news in Gaithersburg where a massive manhunt is underway after a deadly shooting Its all unfolding in the    block of West Deer Park and     Our Montgomery County reporter joins us with the latest tonight
77860,Logic,Hope little Bobby never fight like this
77861,Logic,Stab a motherfucker with a knife like this
77862,Logic,All about the money on a night like this
77863,Logic,Run up in the crib put a bullet in your rib
77864,Logic,Got a lot to give but I never had the chance
77865,Logic,Stay strapped but I hate it when I take it out
77866,Logic,If you want it Ima lay it out
77867,Logic,Hope my little brother make it out
77868,Logic,Every night what I pray about what I pray about
77869,Logic,Check it uh yeah got a son on the way
77870,Logic,But I cling to the streets even though I wanna run away
77871,Logic,Where I never had a debt in life
77872,Logic,Hit you with the  gunshots in the dead of night
77873,Logic,Sellin crack to my own pops
77874,Logic,Pushin this weight on my own block
77875,Logic,If I sell a brick I can buy a house
77876,Logic,If they find the key they might lock me up
77877,Logic,Cause I need that shit and don t give a fuck
77878,Logic,Take the chance cause I need that shit and don t give a fuck
77879,Logic,Hit ya with the Beretta you better stay down
77880,Logic,Stray shots on the playground
77881,Logic,Livin how Im livin with the life that Im given
77882,Logic,Anybody that s ridin with me I m ridin with em
77883,Logic,Show me the enemy and Ima hit em
77884,Logic,The second I bit em I get em
77885,Logic,Ain t no need to pretend Ima never do it
77886,Logic,I knew it already been through it
77887,Logic,I do it for the street for the fam for the life
77888,Logic,Anybody thats gang related
77889,Logic,Okay I was gone for a minute but Im back now
77890,Logic,Seem like everybody nowadays Hollywood
77891,Logic,Ima show you mothafuckas how to act now
77892,Logic,Okay now picture little Bobby just a youngin runnin round
77893,Logic,With his mans hammer in his hands feelin like the man
77894,Logic,Before the popo get the gun put it to your brain like goddamn 
77895,Logic,Everybody know you aint about it
77896,Logic,Everything you talk about I know I can live without it
77897,Logic,Red light stop Green light go 
77898,Logic,Everything aint what it seem like
77899,Logic,Hold up what you mean where you been 
77900,Logic,This is merely the beginning again
77901,Logic,A box under the bridge like Anthony Kiedis 
77902,Logic,Looking for something to complete us
77903,Logic,And maybe lead us fuck an elitist
77904,Logic,Hell of a long way from equal is how they treat us
77905,Logic,Body of a builder with the mind of a fetus
77906,Logic,Turn on the television and see the vision they feed us
77907,Logic,And I wish I could erase that face facts
77908,Logic,Everybody people everybody bleed everybody need something
77909,Logic,Everybody love everybody know how it go
77910,Logic,Everybody people everybody bleed everybody need something
77911,Logic,Everybody love everybody know
77912,Logic,I been knockin doors down like a Jehovah witness
77913,Logic,God as my witness Im with this
77914,Logic,But on the real I think I need another witness 
77915,Logic,If it was      black daddy white momma wouldnt change a thing
77916,Logic,Light skin mothafucka certified as a house nigga
77917,Logic,Well Ill be God damned go figure
77918,Logic,In my blood is the slave and the master
77919,Logic,Its like the devil playin spades with the pastor
77920,Logic,But he was born with the white privilege 
77921,Logic,Man what the fuck is that 
77922,Logic,White people told me as a child as a little boy playin with his toys
77923,Logic,I should be ashamed to be black
77924,Logic,And some black people look ashamed when I rap
77925,Logic,Like my great granddaddy didn t take a whip to the back
77926,Logic,Not accepted by the black or the white
77927,Logic,I dont give a fuck praise God I could see the light
77928,Logic,Everybody talkin bout race this race that
77929,Logic,I wish I could erase that face facts
77930,Logic,Everybody people everybody bleed everybody need something
77931,Logic,Everybody love everybody know how it go
77932,Logic,Everybody people everybody bleed everybody need something
77933,Logic,Everybody love everybody know
77934,Logic,Okay I was gone for a minute but Im back now
77935,Logic,Seem like everybody nowadays Hollywood
77936,Logic,Ima show you mothafuckas how to act now
77937,Logic,Ayy bitch Ive been goin and goin like the Energizer
77938,Logic,Yeah Im supplyin the wood like Elijah
77939,Logic,In the cut smokin on indica
77940,Logic,Might fuck around and compartmentalize ya
77941,Logic,They say they say life is a bitch
77942,Logic,And if that is the case then Im finna surprise her
77943,Logic,No I am not an adviser but I do advise ya
77944,Logic,To pay attention never need to mention
77945,Logic,Im that motherfucker bustin heads
77946,Logic,Finna push it to the ledge
77947,Logic,Yeah I been smokin my meds
77948,Logic,Aint got no love for the feds
77949,Logic,Cant let fame go to yo head
77950,Logic,Fuck with me watch where you tread
77951,Logic,Im finna Im finna Im finna
77952,Logic,Do do do it like I never done it
77953,Logic,And I wanna run it and I wanna keep it goin and goin
77954,Logic,Like infinity be the only entity to ever rip it apart
77955,Logic,From the start like this from the heart like this
77956,Logic,Finna murder it a million miles a minute no nitrous
77957,Logic,I I been I I I been down this road before
77958,Logic,Everybody think that they do but they dont
77959,Logic,Swear to God that they would but they wont
77960,Logic,Spittin riddles in the middle of a past time
77961,Logic,Me in my mind feelin divine like yeah
77962,Logic,Finna get it like yeah yeah
77963,Logic,Like yeah like yeah  woo woo woo woo 
77964,Logic,I done made   million dollars  preach 
77965,Logic,I dont flex to be acknowledged  preach 
77966,Logic,At this point its common knowledge  preach 
77967,Logic,All you haters been abolished  preach 
77968,Logic,You in the club throwin dollars but Im savin mine so my kids go to college  preach 
77969,Logic,Or maybe whatever they wanna do  preach 
77970,Logic,Just as long as they never say  preach 
77971,Logic, Daddy blew   million dollars  ayy 
77972,Logic,He had to flex to be acknowledged  ayy 
77973,Logic,He in the club throwin dollars
77974,Logic,And now cannot afford to send me to college  ayy 
77975,Logic,Just like everybody wanna be accepted  ayy 
77976,Logic,But somehow he had neglected
77977,Logic,Me and my momma for all of this rap shit  ayy 
77978,Logic,No I cannot fuck with that shit  ayy 
77979,Logic,No I cannot fuck with that
77980,Logic,Who you know dropped an album
77981,Logic,Back to back to back to back to back to back again 
77982,Logic,Im back again to snap again
77983,Logic,And goddamnit it aint no other way around it
77984,Logic,Yeah its happenin cause Ive been livin in a world on my own
77985,Logic,Leave me alone Im in the zone
77986,Logic,Where Ive been prone to destroy shit
77987,Logic,You cannot avoid this whack mothafuckas have annoyed this
77988,Logic,Yeah Im tryna reach everybody in the streets
77989,Logic,Each one teach one yeah Im tryna reach one
77990,Logic,That be me on the top to the East one
77991,Logic,Tell me how you really wanna do it right now time to murder this
77992,Logic,Shout out everybody no fuckin around aint heard of this
77993,Logic,Heard of us we aint goin nowhere its a herd of us
77994,Logic,Levitated like Im David Blaine
77995,Logic,Livin a dream like Im David Aames
77996,Logic,Talk all you want we are not the same
77997,Logic,Step in the spot now they know the name
77998,Logic,Sold more albums my first week than Harry Styles and Katy Perry
77999,Logic,That aint a sign of the times
78000,Logic,Then I dont know what is man this shit is scary
78001,Logic,Cause bitch Ive been blowin up like C  
78002,Logic,And Im  for  like a free throw
78003,Logic,Anybody hatin on the boy take a step back and then deep throat
78004,Logic,Now my phone blowin up like ring
78005,Logic,Like ring ring ring ring ring ring ring ring ring ring ring 
78006,Logic,That Kevin Durant Im a champion
78007,Logic,Check the numbers Im a champion
78008,Logic,Cant sleep on the boy anymore
78009,Logic,But the haters that love to hate gon pop an Ambien
78010,Logic,Know the name now they know the alias thats for sure
78011,Logic,Gave em    now heres   more
78012,Logic,Work so fucking much my greatest fear is Ima die alone
78013,Logic,Every diamond in my chain yeah thats a milestone
78014,Logic,People calling me asking me for money man
78015,Logic,The only thing Imma give you motherfuckers is the dial tone
78016,Logic,Flashbacks of a youngin sipping that purple Kool Aid
78017,Logic,Skipping school with my homies and chiefing reefer for two days
78018,Logic,Running from the law living how Im living fuck em all
78019,Logic,Hennessy in my cup driving through the sticks
78020,Logic,Who the bitch riding with me 
78021,Logic,Man the devil tryna get me
78022,Logic,Motivated under educated and hated
78023,Logic,But finally getting cake like a happy belated
78024,Logic,Buy it break it roll it light it smoke it inhale it
78025,Logic,Write it record it mix it master it press it up unveil it
78026,Logic,Feel like Ive been waiting forever forever to inherit
78027,Logic,Time is money I cant spare it
78028,Logic,Please decipher my linguistics
78029,Logic,Im the king aint no discussion
78030,Logic,And now we blowing up like spontaneous human combustion
78031,Logic,My consumption is the illest
78032,Logic,Section eight I know you feel this
78033,Logic,On the come up  where they run up on you for nothing at all
78034,Logic,Brighter than eleven suns this the first where my funds 
78035,Logic,I thank God I thank God but its hard but its hard
78036,Logic,Work so fucking much my greatest fear is Imma die alone
78037,Logic,Every diamond in my chain yeah thats a milestone
78038,Logic,People calling me asking me for money man
78039,Logic,The only thing Imma give you motherfuckers is the dial tone
78040,Logic,God damn god damn we at it again
78041,Logic,Me and my homies that know me blowing up like the Taliban
78042,Logic,Yeah my stress up but Im blessed up
78043,Logic,Fuck around and get messed up
78044,Logic,When I murder the rhyme Im living divine
78045,Logic,You know that Im one of a kind
78046,Logic,Draped up and Im dripped out right now ho
78047,Logic,Caked up til I cash out and I got em all wondering how so
78048,Logic,On the down low haters drown slow
78049,Logic,On the down low haters drown slow
78050,Logic,Oh God my God we got it all right
78051,Logic,Oh God my God we gotta get it right 
78052,Logic,These fuckers facades they just a mirage right 
78053,Logic,I said these fuckers facades they just a mirage right 
78054,Logic,Tell me that they love me know damn well that they dont give a fuck
78055,Logic,I be on that finger flipping killing shit up in the cut
78056,Logic,All these bitches out here tryna gas it up
78057,Logic,This is everything I ever wanted I cant pass it up
78058,Logic,Life changed in a year couldnt happen fast enough
78059,Logic, Can I do it like you do it  Thats what they be asking us
78060,Logic,White Benz black card bitch better get your plastic up
78061,Logic,Man this shit is hella hard but we never acting up
78062,Logic,Live it up hold on to your dream dont ever give it up
78063,Logic,Finally had my share of success and shit I cant get enough
78064,Logic,Now they know my name through the nation
78065,Logic,Cause my single like that good shit man always in rotation
78066,Logic,Now they know Logic for Logic not through my affiliations
78067,Logic,Stacking profit on profit from this music Im making
78068,Logic,Even Jesus had haters so when you feeling forsaken
78069,Logic,Tell em jealous Judases who this is and man thatll break em
78070,Logic,And bitch Im still the same
78071,Logic,Dash of auto tune so yall can feel the pain
78072,Logic,Broke as fuck back in that basement not a dollar to my name
78073,Logic,Chasing fame chasing glory til the day we make a story
78074,Logic,Positive that life aint mine bitch you can take that shit to Maury
78075,Logic,Work so fucking much my greatest fear is Imma die alone
78076,Logic,Every diamond in my chain yeah thats a milestone
78077,Logic,People calling me asking me for money man
78078,Logic,The only thing Imma give you motherfuckers is the dial tone
78079,Logic, Hello no one is available to take your call 
78080,Logic,I been working hard I been searching for God
78081,Logic,I been working hard I been searching for God
78082,Logic, Please leave a message after the tone 
78083,Logic,Little brother this is your sister youre busy I get you
78084,Logic,But I insist you call me back cause I miss you
78085,Logic,I wish you well well I wish you would call
78086,Logic,Cause lately it feel like I m just not your sister at all all
78087,Logic,I m sorry for calling and bawling I m all in
78088,Logic,And I feel like Im falling lately it feel like my children hate me
78089,Logic,You tell me Im beautiful and yet no man wanna date me
78090,Logic,Haunted by vivid memories of that man who raped me
78091,Logic,And lately I I feel more and more like mommy I know I m me but still
78092,Logic,You always seemed to pick up the phone and somehow I feel
78093,Logic,Better but you been answering me lesser and lesser
78094,Logic,So I resorted to the pills in my dresser Im gone
78095,Logic,And as for   he left and he ain t coming back
78096,Logic,I hate him and if I see him I swear I tell him that
78097,Logic,No longer cooking crack in my kitchen cutting an selling that
78098,Logic,He broke my heart that relationship been to hell and back
78099,Logic,I been working hard I been searching for God
78100,Logic,I can feel the Devil around me as they all applaud
78101,Logic,Promise you wont forget me that youll always be with me
78102,Logic,And even when you gone I can call whenever he hit me
78103,Logic,Under pressure Ive been feeling under pressure
78104,Logic,Hey son this is your father dont mean to bother
78105,Logic,How are you Heard you were in town but I never saw ya
78106,Logic,Tried to call ya where are ya 
78107,Logic,In Paris What a beautiful destination
78108,Logic,To perish right by the Eiffel come now please dont be spiteful
78109,Logic,Of all my small talk I think were overdue a long talk
78110,Logic,When I see kids around the way I say how Im your dad
78111,Logic,It gets me thinking bout incredible moments weve had
78112,Logic,And on the real Im trying so hard not to bug you
78113,Logic,But do you think you could stop rapping about my drug use 
78114,Logic,Im two years clean no longer a fiend
78115,Logic,And I love you I swear Bobby I know youre there
78116,Logic,And when the time is right I know that you gon take care
78117,Logic,Of anything I need of your family
78118,Logic,Can I have some tickets to your next show 
78119,Logic,Can I have some money for my new honey thats hella fine 
78120,Logic,I forgot to mention I got divorced from your step mom
78121,Logic,My mind going crazy but I still look hella calm
78122,Logic,Maybe you could tell  beep 
78123,Logic,Ive been feeling under pressure
78124,Logic,Hey whats up bro This Ralph I didnt want much man just calling to see whats going on I know youre busy Dad hit me up its his birthday today but I know you know that Yeah he calling he be tryna introduce me to his new chick and stuff man I dont know how to handle that I dont wanna tell him like nah I aint trying to meet her off top you know So what you think I should do Text me I know youre busy dawg But he been calling me saying he wanna come down he wanna bring his new chick and Brendas like  damn he really tryna rock out with his new chick cause you know we all talk to Debbie But I dont know I dont know how to tell him this shit so just hit me back whenever you got the time man I know theres more shit on your plate You aint gotta hit me dawg but if you do Id appreciate it When you back love you do your thing Swag RattPack all day boy Alright nigga
78125,Logic,Yeah dear family Im so sorry that Ive been distant
78126,Logic,Everything changed in an instant my time has been inconsistent
78127,Logic,I know that you been insisting I know that birthday I missed it
78128,Logic,I swore I told my assistant but I guess my mind is in another place
78129,Logic,Thoughts often in another world I started seeing another girl
78130,Logic,It fell through man what a world
78131,Logic,But Im so focused on my craft on employing my staff
78132,Logic,Such a perfectionist I cant even finish this draft
78133,Logic,This letter to the ones I love the ones that I miss
78134,Logic,Brothers and sisters that hit me up just to reminisce
78135,Logic,Meanwhile people outside of my blood asking for favors
78136,Logic,I dont owe you a fucking thing you best switch your behavior
78137,Logic,Truly remarkable how I barely know you but somehow owe you When you dont even know bout the shit I go through
78138,Logic,We aint spoken in a while tell me sister how your child 
78139,Logic,Come now girl give me a smile come on girl dont do me foul
78140,Logic,Sorry I aint call before but Im calling you right now
78141,Logic,I heard that you was popping E stop resorting to the vowel
78142,Logic,How my mama how she doing does she know what Im pursuing 
78143,Logic,I aint talk to her in years that relationship she ruined
78144,Logic,But sometimes I wake up and wonder just what the fuck Im doing
78145,Logic,They say family is everything I swear that shit the truth
78146,Logic,I should spend it all with yall but I spend it in the booth
78147,Logic,This is everything I love this is everything I need
78148,Logic,Never sacrifice this feeling even though my heart it bleed
78149,Logic,This is everything I love everything I need
78150,Logic,Never sacrifice this feeling even though my heart bleed
78151,Logic,Under pressure Ive been feeling under pressure
78152,Logic,Hey son Im sorry I missed your call today but I was in an AA meeting A friend of mine was celebrating four years so I couldnt get you right then And then when I did call you werent able to answer or whatever Just wondering how things are going Jenn and I arent together anymore Living on my own you know Anyway the whole family even the family that you don t know my sisters and your aunts that youve never met are very proud of you Your cousins just love you too Anyway son I love you I just want you to know that And just keep grinding you know And I dont wanna hear you joining the Illuminati cause then I gotta kill ya I love you son bye
78153,Logic,I can feel you in my lungs feel you in my veins
78154,Logic,Bloodstream only way to make it to my brain
78155,Logic,I tried some others but man they just not as good as you
78156,Logic,Going crazy cause I only feel this good with you
78157,Logic,Maybe I m just not as strong as I once was
78158,Logic,When we re together lately I don t even feel a buzz
78159,Logic,I m addicted to this shit like it was hard drugs
78160,Logic,Nikki baby I love you but now I gotta go
78161,Logic,Cause in the end what happens you already know
78162,Logic,Probably wonder where I been at I been laying low
78163,Logic,But in my mind I m wondering what I m paying for
